params,accuracy,precision,sensitivity,specificity
"{'batch_size': 32, 'dropout_rate': 0.25, 'filters': 64, 'learning_rate': 0.001}",0.9862086911267239,0.9816963134828564,0.9908925318761385,0.9815248503773094
"{'batch_size': 32, 'dropout_rate': 0.25, 'filters': 64, 'learning_rate': 0.0001}",0.9867291178766588,0.9923664122137404,0.9810044236273745,0.9924538121259433
"{'batch_size': 32, 'dropout_rate': 0.25, 'filters': 32, 'learning_rate': 0.001}",0.9957064793130367,0.9925025853154085,0.9989591465001301,0.9924538121259433
"{'batch_size': 32, 'dropout_rate': 0.25, 'filters': 32, 'learning_rate': 0.0001}",0.9919333853760083,0.9939900705513457,0.9898516783762685,0.9940150923757481
"{'batch_size': 32, 'dropout_rate': 0.5, 'filters': 64, 'learning_rate': 0.001}",0.8999479573250065,0.9470622454915648,0.8472547488940931,0.9526411657559198
"{'batch_size': 32, 'dropout_rate': 0.5, 'filters': 64, 'learning_rate': 0.0001}",0.5061150143117357,0.9122807017543859,0.013531095498308613,0.9986989331251627
"{'batch_size': 32, 'dropout_rate': 0.5, 'filters': 32, 'learning_rate': 0.001}",0.9571948998178507,0.9268707482993197,0.9927140255009107,0.9216757741347905
"{'batch_size': 32, 'dropout_rate': 0.5, 'filters': 32, 'learning_rate': 0.0001}",0.558808222742649,0.9312977099236641,0.12698412698412698,0.990632318501171
"{'batch_size': 16, 'dropout_rate': 0.25, 'filters': 64, 'learning_rate': 0.001}",0.992583918813427,0.9899068322981367,0.9953161592505855,0.9898516783762685
"{'batch_size': 16, 'dropout_rate': 0.25, 'filters': 64, 'learning_rate': 0.0001}",0.9907624251886546,0.9843348741653827,0.9973978662503252,0.9841269841269841
"{'batch_size': 16, 'dropout_rate': 0.25, 'filters': 32, 'learning_rate': 0.001}",0.9899817850637522,0.9823258196721312,0.9979182930002602,0.9820452771272443
"{'batch_size': 16, 'dropout_rate': 0.25, 'filters': 32, 'learning_rate': 0.0001}",0.9907624251886546,0.9916579770594369,0.9898516783762685,0.9916731720010409
"{'batch_size': 16, 'dropout_rate': 0.5, 'filters': 64, 'learning_rate': 0.001}",0.8809523809523809,0.8551673944687045,0.9172521467603435,0.8446526151444185
"{'batch_size': 16, 'dropout_rate': 0.5, 'filters': 64, 'learning_rate': 0.0001}",0.8456934686442883,0.9314712569015914,0.7462919594067136,0.9450949778818631
"{'batch_size': 16, 'dropout_rate': 0.5, 'filters': 32, 'learning_rate': 0.001}",0.9492583918813428,0.918951710749818,0.9854280510018215,0.9130887327608639
"{'batch_size': 16, 'dropout_rate': 0.5, 'filters': 32, 'learning_rate': 0.0001}",0.5451470205568566,0.9006928406466512,0.1014832162373146,0.9888108248763986
"{'batch_size': 8, 'dropout_rate': 0.25, 'filters': 64, 'learning_rate': 0.001}",0.989591465001301,0.9813251470964441,0.9981785063752276,0.9810044236273745
"{'batch_size': 8, 'dropout_rate': 0.25, 'filters': 64, 'learning_rate': 0.0001}",0.9946656258131668,0.9909607438016529,0.9984387197501952,0.9908925318761385
"{'batch_size': 8, 'dropout_rate': 0.25, 'filters': 32, 'learning_rate': 0.001}",0.987639864689045,0.9872594903796151,0.9880301847514962,0.9872495446265938
"{'batch_size': 8, 'dropout_rate': 0.25, 'filters': 32, 'learning_rate': 0.0001}",0.9946656258131668,0.9909607438016529,0.9984387197501952,0.9908925318761385
"{'batch_size': 8, 'dropout_rate': 0.5, 'filters': 64, 'learning_rate': 0.001}",0.8642987249544627,0.8233256351039261,0.9276606817590424,0.8009367681498829
"{'batch_size': 8, 'dropout_rate': 0.5, 'filters': 64, 'learning_rate': 0.0001}",0.9078844652615145,0.880368842513953,0.9440541243819932,0.8717148061410357
"{'batch_size': 8, 'dropout_rate': 0.5, 'filters': 32, 'learning_rate': 0.001}",0.9547228727556596,0.9416224412433661,0.9695550351288056,0.9398907103825137
"{'batch_size': 8, 'dropout_rate': 0.5, 'filters': 32, 'learning_rate': 0.0001}",0.8957845433255269,0.918547055586131,0.868592245641426,0.9229768410096278


Best Parameters and Metrics:
params         {'batch_size': 32, 'dropout_rate': 0.25, 'filt...
accuracy                                                0.995706
precision                                               0.992503
sensitivity                                             0.998959
specificity                                             0.992454
Name: 2, dtype: object
